Date,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change
2017-02-28,2.31,-1.1,2.13
2017-03-01,3.87,-1.14,2.03
2017-03-02,3.38,-0.76,1.18
2017-03-03,2.59,-0.3,1.16
2017-03-06,2.48,-0.91,1.21
2017-03-07,2.13,-1.23,1.23
2017-03-08,2.03,-1.39,0.91
2017-03-09,1.18,-0.86,1.9
2017-03-10,1.16,-1.08,1.71
2017-03-13,1.21,-0.66,1.78
2017-03-14,1.23,0.67,1.42
2017-03-15,0.91,0.76,0.31
2017-03-16,1.9,0.96,0.95
2017-03-17,1.71,1.41,1.29
2017-03-20,1.78,2.08,0.56
2017-03-21,1.42,1.74,1.1
2017-03-22,0.31,1.92,-0.12
2017-03-23,0.95,1.53,-0.17
2017-03-24,1.29,0.82,-0.7
2017-03-27,0.56,1.89,-0.92
2017-03-28,1.1,2.31,-0.23
2017-03-29,-0.12,3.87,-0.04
2017-03-30,-0.17,3.38,-0.16
2017-03-31,-0.7,2.59,0.09
2017-04-03,-0.92,2.48,-0.25
2017-04-04,-0.23,2.13,0.1
2017-04-05,-0.04,2.03,-0.27
2017-04-06,-0.16,1.18,-1.19
2017-04-07,0.09,1.16,-3.74
2017-04-10,-0.25,1.21,-4.25
2017-04-11,0.1,1.23,-3.52
2017-04-12,-0.27,0.91,-2.87
2017-04-13,-1.19,1.9,-1.04
2017-04-18,-3.74,1.71,-0.83
2017-04-19,-4.25,1.78,-0.07
2017-04-20,-3.52,1.42,-1.45
2017-04-21,-2.87,0.31,-2.3
2017-04-24,-1.04,0.95,-1.62
2017-04-25,-0.83,1.29,-1.21
2017-04-26,-0.07,0.56,-0.47
2017-04-27,-1.45,1.1,-0.33
2017-04-28,-2.3,-0.12,-0.42
2017-05-02,-1.62,-0.17,0.53
2017-05-03,-1.21,-0.7,0.49
2017-05-04,-0.47,-0.92,0.51
2017-05-05,-0.33,-0.23,0.95
2017-05-08,-0.42,-0.04,1.43
2017-05-09,0.53,-0.16,2.65
2017-05-10,0.49,0.09,4.98
2017-05-11,0.51,-0.25,4.53
2017-05-12,0.95,0.1,4.95
2017-05-15,1.43,-0.27,5.37
2017-05-16,2.65,-1.19,3.04
2017-05-17,4.98,-3.74,3.29
2017-05-18,4.53,-4.25,3.14
2017-05-19,4.95,-3.52,4.29
2017-05-22,5.37,-2.87,4.48
2017-05-23,3.04,-1.04,3.72
2017-05-24,3.29,-0.83,4.27
2017-05-25,3.14,-0.07,4.13
2017-05-26,4.29,-1.45,3.13
2017-05-30,4.48,-2.3,3.07
2017-05-31,3.72,-1.62,1.86
2017-06-01,4.27,-1.21,0.88
2017-06-02,4.13,-0.47,1.9
2017-06-05,3.13,-0.33,1.03
2017-06-06,3.07,-0.42,0.62
2017-06-07,1.86,0.53,-0.63
2017-06-08,0.88,0.49,-1.12
2017-06-09,1.9,0.51,0.36
2017-06-12,1.03,0.95,0.71
2017-06-13,0.62,1.43,-0.32
2017-06-14,-0.63,2.65,-0.5
2017-06-15,-1.12,4.98,-1.01
2017-06-16,0.36,4.53,-1.24
2017-06-19,0.71,4.95,-1.34
2017-06-20,-0.32,5.37,-1.22
2017-06-21,-0.5,3.04,-1.76
2017-06-22,-1.01,3.29,-2.56
2017-06-23,-1.24,3.14,-3.11
2017-06-26,-1.34,4.29,-1.98
2017-06-27,-1.22,4.48,-2.23
2017-06-28,-1.76,3.72,-1.48
2017-06-29,-2.56,4.27,-1.51
2017-06-30,-3.11,4.13,-2.34
2017-07-03,-1.98,3.13,-1.89
2017-07-04,-2.23,3.07,-2.28
2017-07-05,-1.48,1.86,-0.77
2017-07-06,-1.51,0.88,-0.08
2017-07-07,-2.34,1.9,-1.14
2017-07-10,-1.89,1.03,-1.59
2017-07-11,-2.28,0.62,-1.1
2017-07-12,-0.77,-0.63,-0.23
2017-07-13,-0.08,-1.12,0.65
2017-07-14,-1.14,0.36,0.39
2017-07-17,-1.59,0.71,-0.93
2017-07-18,-1.1,-0.32,0.01
2017-07-19,-0.23,-0.5,0.87
2017-07-20,0.65,-1.01,1.26
2017-07-21,0.39,-1.24,0.76
2017-07-24,-0.93,-1.34,-0.07
2017-07-25,0.01,-1.22,0.9
2017-07-26,0.87,-1.76,0.59
2017-07-27,1.26,-2.56,1.87
2017-07-28,0.76,-3.11,2.19
2017-07-31,-0.07,-1.98,2.2
2017-08-01,0.9,-2.23,2.91
2017-08-02,0.59,-1.48,1.09
2017-08-03,1.87,-1.51,-0.32
2017-08-04,2.19,-2.34,-0.93
2017-08-07,2.2,-1.89,-0.68
2017-08-08,2.91,-2.28,-0.09
2017-08-09,1.09,-0.77,0.03
2017-08-10,-0.32,-0.08,-1.34
2017-08-11,-0.93,-1.14,-1.73
2017-08-14,-0.68,-1.59,-0.8
2017-08-15,-0.09,-1.1,-0.71
2017-08-16,0.03,-0.23,-0.93
2017-08-17,-1.34,0.65,-0.48
2017-08-18,-1.73,0.39,0.45
2017-08-21,-0.8,-0.93,-0.47
2017-08-22,-0.71,0.01,-0.79
2017-08-23,-0.93,0.87,0.26
2017-08-24,-0.48,1.26,-0.49
2017-08-25,0.45,0.76,-1.33
2017-08-29,-0.47,-0.07,-2.11
2017-08-30,-0.79,0.9,-2.5
2017-08-31,0.26,0.59,-1.35
2017-09-01,-0.49,1.87,-0.17
2017-09-04,-1.33,2.19,1.42
2017-09-05,-2.11,2.2,0.64
2017-09-06,-2.5,2.91,-0.06
2017-09-07,-1.35,1.09,-1.85
2017-09-08,-0.17,-0.32,-2.33
2017-09-11,1.42,-0.93,-0.97
2017-09-12,0.64,-0.68,-0.6
2017-09-13,-0.06,-0.09,-1.49
2017-09-14,-1.85,0.03,-1.61
2017-09-15,-2.33,-1.34,-1.3
2017-09-18,-0.97,-1.73,-1.35
2017-09-19,-0.6,-0.8,-0.7
2017-09-20,-1.49,-0.71,-0.7
2017-09-21,-1.61,-0.93,-1.45
2017-09-22,-1.3,-0.48,-0.88
2017-09-25,-1.35,0.45,0.37
2017-09-26,-0.7,-0.47,1.29
2017-09-27,-0.7,-0.79,1.54
2017-09-28,-1.45,0.26,1.5
2017-09-29,-0.88,-0.49,1.97
2017-10-02,0.37,-1.33,1.27
2017-10-03,1.29,-2.11,1.86
2017-10-04,1.54,-2.5,2.09
2017-10-05,1.5,-1.35,3.58
2017-10-06,1.97,-0.17,4.43
2017-10-09,1.27,1.42,3.77
2017-10-10,1.86,0.64,3.31
2017-10-11,2.09,-0.06,3.73
2017-10-12,3.58,-1.85,3.57
2017-10-13,4.43,-2.33,2.91
2017-10-16,3.77,-0.97,3.06
2017-10-17,3.31,-0.6,3.31
2017-10-18,3.73,-1.49,1.83
2017-10-19,3.57,-1.61,2.24
2017-10-20,2.91,-1.3,1.79
2017-10-23,3.06,-1.35,0.66
2017-10-24,3.31,-0.7,0.33
2017-10-25,1.83,-0.7,0.27
2017-10-26,2.24,-1.45,0.63
2017-10-27,1.79,-0.88,0.5
2017-10-30,0.66,0.37,0.72
2017-10-31,0.33,1.29,-0.33
2017-11-01,0.27,1.54,-0.05
2017-11-02,0.63,1.5,-0.95
2017-11-03,0.5,1.97,-1.36
2017-11-06,0.72,1.27,-1.49
2017-11-07,-0.33,1.86,-1.35
2017-11-08,-0.05,2.09,-2.26
2017-11-09,-0.95,3.58,-1.81
2017-11-10,-1.36,4.43,-1.89
2017-11-13,-1.49,3.77,-1.79
2017-11-14,-1.35,3.31,-1.53
2017-11-15,-2.26,3.73,-0.38
2017-11-16,-1.81,3.57,-0.93
2017-11-17,-1.89,2.91,-1.27
2017-11-20,-1.79,3.06,-1.39
2017-11-21,-1.53,3.31,-0.43
2017-11-22,-0.38,1.83,-1.26
2017-11-23,-0.93,2.24,-3.03
2017-11-24,-1.27,1.79,-3.44
2017-11-27,-1.39,0.66,-2.95
2017-11-28,-0.43,0.33,-2.47
2017-11-29,-1.26,0.27,-2.41
2017-11-30,-3.03,0.63,-2.18
2017-12-01,-3.44,0.5,-0.53
2017-12-04,-2.95,0.72,0.52
2017-12-05,-2.47,-0.33,1.16
2017-12-06,-2.41,-0.05,1.68
2017-12-07,-2.18,-0.95,0.83
2017-12-08,-0.53,-1.36,1.49
2017-12-11,0.52,-1.49,2.0
2017-12-12,1.16,-1.35,1.79
2017-12-13,1.68,-2.26,1.43
2017-12-14,0.83,-1.81,2.52
2017-12-15,1.49,-1.89,2.47
2017-12-18,2.0,-1.79,3.21
2017-12-19,1.79,-1.53,2.17
2017-12-20,1.43,-0.38,3.98
2017-12-21,2.52,-0.93,4.39
2017-12-22,2.47,-1.27,5.08
2017-12-27,3.21,-1.39,4.86
2017-12-28,2.17,-0.43,5.41
2017-12-29,3.98,-1.26,4.74
2018-01-02,4.39,-3.03,5.6
2018-01-03,5.08,-3.44,4.8
2018-01-04,4.86,-2.95,4.15
2018-01-05,5.41,-2.47,3.71
2018-01-08,4.74,-2.41,3.64
2018-01-09,5.6,-2.18,4.13
2018-01-10,4.8,-0.53,3.14
2018-01-11,4.15,0.52,2.18
2018-01-12,3.71,1.16,2.47
2018-01-15,3.64,1.68,2.53
2018-01-16,4.13,0.83,1.68
2018-01-17,3.14,1.49,0.67
2018-01-18,2.18,2.0,-0.06
2018-01-19,2.47,1.79,0.56
2018-01-22,2.53,1.43,-0.21
2018-01-23,1.68,2.52,-0.79
2018-01-24,0.67,2.47,-1.79
2018-01-25,-0.06,3.21,-2.67
2018-01-26,0.56,2.17,-3.64
2018-01-29,-0.21,3.98,-4.7
2018-01-30,-0.79,4.39,-7.63
2018-01-31,-1.79,5.08,-6.05
2018-02-01,-2.67,4.86,-7.63
2018-02-02,-3.64,5.41,-8.82
2018-02-05,-4.7,4.74,-7.62
2018-02-06,-7.63,5.6,-7.58
2018-02-07,-6.05,4.8,-6.62
2018-02-08,-7.63,4.15,-6.05
2018-02-09,-8.82,3.71,-5.64
2018-02-12,-7.62,3.64,-6.06
2018-02-13,-7.58,4.13,-6.27
2018-02-14,-6.62,3.14,-4.73
2018-02-15,-6.05,2.18,-4.77
2018-02-16,-5.64,2.47,-5.49
2018-02-19,-6.06,2.53,-4.98
2018-02-20,-6.27,1.68,-4.03
2018-02-21,-4.73,0.67,-4.0
2018-02-22,-4.77,-0.06,-4.2
2018-02-23,-5.49,0.56,-5.02
2018-02-26,-4.98,-0.21,-2.99
2018-02-27,-4.03,-0.79,0.07
2018-02-28,-4.0,-1.79,-1.67
2018-03-01,-4.2,-2.67,0.45
2018-03-02,-5.02,-3.64,1.86
2018-03-05,-2.99,-4.7,0.53
2018-03-06,0.07,-7.63,-0.41
2018-03-07,-1.67,-6.05,-1.13
2018-03-08,0.45,-7.63,-1.31
2018-03-09,1.86,-8.82,-1.79
2018-03-12,0.53,-7.62,-2.82
2018-03-13,-0.41,-7.58,-2.56
2018-03-14,-1.13,-6.62,-3.33
2018-03-15,-1.31,-6.05,-4.13
2018-03-16,-1.79,-5.64,-4.45
2018-03-19,-2.82,-6.06,-5.5
2018-03-20,-2.56,-6.27,-3.88
2018-03-21,-3.33,-4.73,-2.59
2018-03-22,-4.13,-4.77,-1.66
2018-03-23,-4.45,-5.49,-0.56
2018-03-26,-5.5,-4.98,-1.15
2018-03-27,-3.88,-4.03,0.74
2018-03-28,-2.59,-4.0,0.36
2018-03-29,-1.66,-4.2,-0.12
2018-04-03,-0.56,-5.02,0.58
2018-04-04,-1.15,-2.99,0.59
2018-04-05,0.74,0.07,1.67
2018-04-06,0.36,-1.67,1.85
2018-04-09,-0.12,0.45,0.82
2018-04-10,0.58,1.86,0.86
2018-04-11,0.59,0.53,3.9
2018-04-12,1.67,-0.41,3.79
2018-04-13,1.85,-1.13,4.68
2018-04-16,0.82,-1.31,6.42
2018-04-17,0.86,-1.79,7.27
2018-04-18,3.9,-2.82,7.12
2018-04-19,3.79,-2.56,6.02
2018-04-20,4.68,-3.33,6.49
2018-04-23,6.42,-4.13,6.42
2018-04-24,7.27,-4.45,6.97
2018-04-25,7.12,-5.5,7.24
2018-04-26,6.02,-3.88,4.21
2018-04-27,6.49,-2.59,5.34
2018-04-30,6.42,-1.66,5.16
2018-05-01,6.97,-0.56,5.45
2018-05-02,7.24,-1.15,6.12
2018-05-03,4.21,0.74,6.42
2018-05-04,5.34,0.36,6.15
2018-05-08,5.16,-0.12,7.29
2018-05-09,5.45,0.58,7.03
2018-05-10,6.12,0.59,6.43
2018-05-11,6.42,1.67,6.14
2018-05-14,6.15,1.85,6.66
2018-05-15,7.29,0.82,6.47
2018-05-16,7.03,0.86,4.89
2018-05-17,6.43,3.9,4.57
2018-05-18,6.14,3.79,4.16
2018-05-21,6.66,4.68,1.74
2018-05-22,6.47,6.42,2.4
2018-05-23,4.89,7.27,2.1
2018-05-24,4.57,7.12,2.1
2018-05-25,4.16,6.02,3.18
2018-05-29,1.74,6.49,1.58
2018-05-30,2.4,6.42,1.94
2018-05-31,2.1,6.97,0.55
2018-06-01,2.1,7.24,-0.26
2018-06-04,3.18,4.21,0.17
2018-06-05,1.58,5.34,-0.09
2018-06-06,1.94,5.16,-0.25
2018-06-07,0.55,5.45,0.41
2018-06-08,-0.26,6.12,-1.98
2018-06-11,0.17,6.42,-1.9
2018-06-12,-0.09,6.15,-3.25
2018-06-13,-0.25,7.29,-3.17
2018-06-14,0.41,7.03,-2.98
2018-06-15,-1.98,6.43,-0.45
2018-06-18,-1.9,6.14,-2.85
2018-06-19,-3.25,6.66,-1.24
2018-06-20,-3.17,6.47,-0.88
2018-06-21,-2.98,4.89,-0.81
2018-06-22,-0.45,4.57,-0.84
2018-06-25,-2.85,4.16,-2.5
2018-06-26,-1.24,1.74,-1.22
2018-06-27,-0.88,2.4,-1.81
2018-06-28,-0.81,2.1,-1.31
2018-06-29,-0.84,2.1,-0.83
2018-07-02,-2.5,3.18,-0.64
2018-07-03,-1.22,1.58,-0.15
2018-07-04,-1.81,1.94,-1.45
2018-07-05,-1.31,0.55,-1.47
2018-07-06,-0.83,-0.26,0.37
2018-07-09,-0.64,0.17,-0.4
2018-07-10,-0.15,-0.09,0.3
2018-07-11,-1.45,-0.25,0.64
2018-07-12,-1.47,0.41,1.69
2018-07-13,0.37,-1.98,-0.05
2018-07-16,-0.4,-1.9,1.94
2018-07-17,0.3,-3.25,2.27
2018-07-18,0.64,-3.17,0.48
2018-07-19,1.69,-2.98,0.62
2018-07-20,-0.05,-0.45,0.84
2018-07-23,1.94,-2.85,2.03
2018-07-24,2.27,-1.24,2.05
2018-07-25,0.48,-0.88,1.05
2018-07-26,0.62,-0.81,-0.36
2018-07-27,0.84,-0.84,0.54
2018-07-30,2.03,-2.5,-0.31
2018-07-31,2.05,-1.22,0.34
2018-08-01,1.05,-1.81,2.43
2018-08-02,-0.36,-1.31,1.18
2018-08-03,0.54,-0.83,0.07
2018-08-06,-0.31,-0.64,0.55
2018-08-07,0.34,-0.15,-0.19
2018-08-08,2.43,-1.45,-2.32
2018-08-09,1.18,-1.47,-1.66
2018-08-10,0.07,0.37,-1.57
2018-08-13,0.55,-0.4,-0.84
2018-08-14,-0.19,0.3,-1.86
2018-08-15,-2.32,0.64,-1.1
2018-08-16,-1.66,1.69,-1.3
2018-08-17,-1.57,-0.05,-1.61
2018-08-20,-0.84,1.94,-1.09
2018-08-21,-1.86,2.27,-2.39
2018-08-22,-1.1,0.48,-1.79
2018-08-23,-1.3,0.62,-1.89
2018-08-24,-1.61,0.84,-2.02
2018-08-28,-1.09,2.03,-2.69
2018-08-29,-2.39,2.05,-4.34
2018-08-30,-1.79,1.05,-5.89
2018-08-31,-1.89,-0.36,-5.99
2018-09-03,-2.02,0.54,-5.06
2018-09-04,-2.69,-0.31,-4.83
2018-09-05,-4.34,0.34,-3.92
2018-09-06,-5.89,2.43,-2.88
2018-09-07,-5.99,1.18,-3.34
2018-09-10,-5.06,0.07,-3.39
2018-09-11,-4.83,0.55,-3.83
2018-09-12,-3.92,-0.19,-3.1
2018-09-13,-2.88,-2.32,-2.73
2018-09-14,-3.34,-1.66,-0.97
2018-09-17,-3.39,-1.57,-1.57
2018-09-18,-3.83,-0.84,-1.44
2018-09-19,-3.1,-1.86,-0.68
2018-09-20,-2.73,-1.1,0.39
2018-09-21,-0.97,-1.3,1.05
2018-09-24,-1.57,-1.61,-0.12
2018-09-25,-1.44,-1.09,0.22
2018-09-26,-0.68,-2.39,1.72
2018-09-27,0.39,-1.79,1.36
2018-09-28,1.05,-1.89,0.56
2018-10-01,-0.12,-2.02,-0.63
2018-10-02,0.22,-2.69,-0.49
2018-10-03,1.72,-4.34,-2.29
2018-10-04,1.36,-5.89,-3.77
2018-10-05,0.56,-5.99,-4.22
2018-10-08,-0.63,-5.06,-3.74
2018-10-09,-0.49,-4.83,-3.3
